user_id,favourite_fruit
58146,banana
5436,peach
5405,apple
5415,banana
14817,banana
22099,banana
25930,banana
58873,peach
58407,banana
58823,banana
3567,banana
58777,banana
58783,orange
37382,banana
38306,banana
12317,apple
9573,banana
9574,banana
12374,banana
58732,banana
58757,banana
30652,banana
53228,peach
24633,banana
58481,banana
34523,peach
35175,banana
30007,banana
48443,banana
270,apple
53042,apple
9456,orange
18282,banana
5321,banana
5285,banana
70125,banana
16506,banana
27410,banana
12659,banana
44627,banana
98516,apple
74015,banana
16799,banana
7652,banana
7720,banana
7650,banana
26353,banana
63879,orange
50027,banana
62723,banana
22328,banana
37636,peach
59083,banana
55173,banana
83841,orange
83874,orange
36298,banana
23144,banana
22704,apple
37832,peach
37782,apple
38512,banana
45487,peach
45513,banana
63790,apple
47509,peach
49007,peach
49092,banana
49115,orange
41384,banana
35208,banana
64075,apple
15474,banana
29807,banana
64108,banana
16263,peach
15988,peach
16394,banana
16363,banana
47963,banana
62668,banana
71661,banana
34682,banana
47411,peach
32595,peach
25040,orange
18665,banana
79796,apple
94593,orange
33093,banana
31807,banana
58962,banana
39696,banana
49399,banana
33021,banana
43788,apple
24741,apple
24794,banana
33603,banana
62242,banana
25016,peach
25086,banana
38223,banana
38249,orange
21844,peach
6572,banana
45941,banana
120565,orange
99875,apple
110720,banana
16128,banana
33829,banana
27201,banana
49292,apple
45233,banana
63495,banana
69943,apple
70028,orange
61095,banana
45896,banana
43316,peach
48857,banana
48862,apple
26076,banana
52700,banana
52720,banana
18351,banana
64465,orange
5191,peach
46255,banana
19146,banana
54185,banana
65459,apple
110871,orange
105810,peach
77669,orange
20013,banana
21486,banana
76159,banana
111170,banana
108951,banana
16646,banana
16655,banana
8004,banana
98790,banana
69488,banana
69554,peach
10954,apple
24478,orange
11459,banana
83370,apple
83404,banana
81665,banana
24627,peach
24563,peach
17757,banana
24568,banana
121019,orange
121120,orange
121276,orange
121224,orange
78805,apple
7574,peach
22902,banana
40285,apple
54439,banana
64258,apple
47443,peach
47714,banana
